model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Fiesta,2018,9498,Manual,30925,Petrol,145,65.7,1
 Focus,2018,13698,Manual,13418,Petrol,145,58.9,1
 Fiesta,2018,13298,Manual,13756,Petrol,145,58.9,1
 Kuga,2015,14398,Manual,25175,Diesel,145,54.3,2
 Fiesta,2017,8998,Manual,21267,Petrol,145,64.2,1.1
 Fiesta,2019,12698,Manual,12130,Petrol,145,56.5,1
 Fiesta,2019,11998,Manual,17354,Petrol,145,56.5,1
 Fiesta,2019,13498,Manual,15822,Petrol,145,58.9,1
 Fiesta,2019,13498,Manual,10557,Petrol,145,58.9,1
 Focus,2016,9698,Manual,20786,Petrol,20,61.4,1
 Focus,2016,24995,Manual,7997,Petrol,235,36.7,2.3
 Fiesta,2017,9895,Manual,19079,Petrol,145,65.7,1
 Fiesta,2018,12995,Manual,14979,Petrol,145,58.9,1
 Tourneo Connect,2015,9295,Manual,47904,Diesel,125,56.5,1.6
 Fiesta,2016,8495,Manual,24410,Petrol,125,54.3,1.2
 Fiesta,2019,13895,Manual,13600,Petrol,145,58.9,1
 Focus,2018,18298,Manual,21456,Diesel,145,67.3,2
 Focus,2015,9198,Manual,31512,Diesel,0,74.3,1.5
 Fiesta,2016,10798,Manual,11843,Petrol,0,65.7,1
 Fiesta,2016,8998,Manual,31373,Petrol,0,65.7,1
 Kuga,2018,18498,Manual,7796,Diesel,145,54.3,1.5
 Kuga,2017,13498,Manual,26597,Diesel,145,54.3,2
 Kuga,2017,14998,Manual,15978,Diesel,30,64.2,1.5
 Kuga,2017,13998,Automatic,13265,Petrol,240,38.2,1.5
 EcoSport,2016,9998,Manual,20491,Petrol,125,52.3,1
 Tourneo Connect,2017,10998,Manual,16310,Petrol,125,50.4,1
 Focus,2017,17698,Manual,14557,Petrol,145,41.5,2
 Focus,2017,11498,Semi-Auto,30917,Petrol,125,51.4,1
 Focus,2017,12798,Manual,22153,Diesel,145,74.3,1.5
 C-MAX,2015,8698,Manual,31743,Petrol,30,55.4,1
 Kuga,2019,19495,Manual,13673,Diesel,145,47.9,2
 Fiesta,2018,9995,Manual,25776,Petrol,145,65.7,1
 Focus,2016,10995,Manual,30923,Diesel,0,74.3,1.5
 Kuga,2017,13998,Manual,24504,Diesel,150,64.2,1.5
 Fiesta,2017,11998,Manual,6568,Petrol,145,62.8,1
 Tourneo Connect,2016,8998,Manual,42960,Diesel,30,61.4,1.5
 Kuga,2018,16698,Manual,5117,Diesel,145,54.3,1.5
 EcoSport,2016,8998,Manual,31736,Petrol,125,53.3,1
 Fiesta,2015,7998,Manual,19212,Petrol,0,65.7,1
 Fiesta,2018,12495,Manual,12426,Petrol,145,65.7,1
 Ka+,2017,7995,Manual,12872,Petrol,145,57.7,1.2
 Puma,2020,21995,Manual,4111,Petrol,145,50.4,1
 Kuga,2018,16995,Manual,34690,Diesel,145,60.1,2
 Fiesta,2018,11995,Manual,32168,Petrol,145,65.7,1
 Kuga,2019,19995,Manual,11312,Diesel,145,47.9,2
 Fiesta,2017,8995,Manual,31559,Petrol,145,65.7,1
 Ka+,2017,8295,Manual,23000,Petrol,145,57.7,1.2
 EcoSport,2018,14698,Manual,6442,Petrol,145,54.3,1
 Fiesta,2016,10498,Semi-Auto,29590,Petrol,0,57.7,1
 Focus,2018,14495,Manual,17030,Petrol,145,57.7,1
 Focus,2016,8995,Manual,22493,Petrol,20,60.1,1
 Focus,2016,15995,Manual,29600,Diesel,20,67.3,2
 C-MAX,2016,10995,Semi-Auto,26500,Diesel,125,58.9,2
 Tourneo Custom,2017,19995,Manual,14000,Diesel,200,44.8,2
 C-MAX,2013,8295,Manual,34783,Diesel,30,61.4,1.6
 Focus,2015,7995,Manual,56655,Diesel,20,67.3,1.6
 Kuga,2019,19995,Manual,16000,Diesel,150,47.9,2
 Mondeo,2015,9995,Manual,30753,Diesel,0,78.5,1.5
 Grand C-MAX,2018,13495,Manual,1030,Petrol,145,47.9,1
 C-MAX,2017,12995,Manual,7817,Petrol,145,55.4,1
 Focus,2018,12995,Manual,9781,Petrol,145,60.1,1
 EcoSport,2018,12998,Manual,17241,Petrol,145,54.3,1
 Tourneo Connect,2015,10298,Manual,28309,Diesel,125,58.9,1.6
 Fiesta,2017,10498,Manual,50599,Petrol,0,65.7,1
 Focus,2018,11298,Semi-Auto,37880,Diesel,150,74.3,1.5
 Kuga,2016,10698,Manual,56888,Diesel,125,60.1,2
 Focus,2018,15995,Manual,10500,Petrol,145,60.1,1
 B-MAX,2014,6995,Semi-Auto,50800,Petrol,160,44.1,1.6
 Fiesta,2019,13950,Manual,6700,Petrol,145,58.9,1
 Fiesta,2017,10650,Manual,31800,Petrol,150,65.7,1
 Fiesta,2016,7995,Manual,20700,Petrol,125,54.3,1.2
 Focus,2016,11495,Manual,29900,Diesel,0,74.3,1.5
 Kuga,2018,16995,Manual,32858,Diesel,145,54.3,2
 Fiesta,2018,11995,Manual,31593,Petrol,145,65.7,1
 Focus,2015,10995,Manual,13791,Petrol,125,51.4,1.5
 Kuga,2019,20495,Manual,12034,Diesel,145,47.9,2
 Focus,2018,19995,Manual,10923,Diesel,145,67.3,2
 Kuga,2019,19995,Manual,10171,Diesel,145,38.2,2
 Focus,2016,10995,Manual,30923,Diesel,0,74.3,1.5
 EcoSport,2019,18995,Manual,2291,Petrol,145,52.3,1
 Focus,2017,11995,Manual,23469,Petrol,125,51.4,1.5
 Kuga,2017,16998,Manual,13626,Diesel,125,60.1,2
 Fiesta,2016,7398,Manual,35180,Petrol,125,54.3,1.2
 Fiesta,2019,11498,Manual,17708,Petrol,145,58.9,1
 Fiesta,2019,13998,Manual,9957,Petrol,145,58.9,1
 Focus,2019,16698,Manual,4542,Petrol,145,60.1,1
 Mondeo,2016,9998,Manual,38358,Diesel,0,78.5,1.5
 Focus,2015,12998,Manual,25878,Diesel,20,67.3,2
 EcoSport,2016,9998,Semi-Auto,18325,Petrol,160,44.8,1.5
 Focus,2017,12498,Manual,9338,Petrol,145,60.1,1
 EcoSport,2018,14998,Manual,7133,Diesel,145,58.9,1.5
 Focus,2017,10498,Manual,42002,Petrol,20,60.1,1
 Kuga,2017,16995,Automatic,3700,Petrol,145,38.2,1.5
 Focus,2019,15495,Manual,5600,Petrol,145,60.1,1
 Fiesta,2015,9495,Manual,17288,Petrol,0,65.7,1
 B-MAX,2013,5995,Manual,42996,Diesel,20,70.6,1.6
 Focus,2014,7498,Manual,47566,Petrol,30,56.5,1
 Fiesta,2017,11798,Manual,4262,Petrol,0,65.7,1
 Fiesta,2017,10998,Manual,10125,Petrol,145,65.7,1
 Focus,2017,14998,Automatic,17028,Petrol,150,46.3,1.5
 Fiesta,2017,8998,Manual,12753,Petrol,145,54.3,1.2
 Focus,2016,13998,Manual,24895,Diesel,20,67.3,2
 Focus,2017,17998,Manual,9066,Petrol,145,41.5,2
 Fiesta,2019,18998,Manual,3292,Petrol,145,40.3,1.5
 Kuga,2013,9198,Semi-Auto,48130,Diesel,200,45.6,2
 Kuga,2015,14498,Manual,27513,Diesel,145,54.3,2
 Focus,2017,14998,Manual,32511,Petrol,150,41.5,2
 Fiesta,2016,8498,Manual,21888,Petrol,125,54.3,1.2
 Fiesta,2019,13995,Manual,11130,Petrol,145,58.9,1
 Focus,2017,18498,Manual,14441,Petrol,145,41.5,2
 Focus,2018,13998,Manual,13401,Petrol,145,60.1,1
 Fiesta,2019,12798,Manual,10567,Petrol,145,58.9,1
 Fiesta,2019,14698,Manual,7872,Petrol,145,58.9,1
 Ka+,2017,7698,Manual,10641,Petrol,30,57.7,1.2
 EcoSport,2018,12498,Manual,10222,Petrol,145,54.3,1
 Fiesta,2017,9998,Manual,28519,Petrol,20,62.8,1
 Kuga,2017,13998,Manual,51772,Diesel,125,60.1,2
 Fiesta,2016,9500,Automatic,7350,Petrol,0,57.7,1
 Ka+,2018,8195,Manual,12231,Petrol,145,47.9,1.2
 Kuga,2019,21498,Automatic,5354,Petrol,150,31,1.5
 Focus,2017,17998,Manual,19525,Petrol,145,41.5,2
 EcoSport,2018,14498,Manual,11922,Petrol,145,54.3,1
 C-MAX,2016,9998,Manual,16984,Diesel,20,68.9,1.5
 Fiesta,2016,7998,Manual,16070,Petrol,125,54.3,1.2
 Focus,2018,10998,Manual,26648,Petrol,145,61.4,1
 Fiesta,2017,10998,Manual,19140,Petrol,145,62.8,1
 Focus,2016,9998,Manual,26399,Diesel,0,74.3,1.5
 Fiesta,2013,5498,Manual,53545,Petrol,30,54.3,1.2
 Fiesta,2017,9298,Manual,25491,Petrol,0,65.7,1
 Fiesta,2014,7298,Manual,31359,Petrol,0,65.7,1
 Focus,2016,8498,Manual,51656,Diesel,0,74.3,1.5
 Kuga,2016,17698,Semi-Auto,11221,Diesel,145,54.3,2
 Kuga,2017,14498,Manual,23356,Diesel,145,60.1,2
 EcoSport,2018,12898,Manual,15267,Petrol,145,53.3,1
 B-MAX,2017,7998,Manual,41294,Diesel,0,74.4,1.5
 C-MAX,2018,12198,Manual,7993,Petrol,145,49.6,1
 EcoSport,2017,9698,Manual,30207,Petrol,145,53.3,1
 Fiesta,2016,8798,Manual,19815,Petrol,0,65.7,1
 Kuga,2015,14298,Manual,43717,Diesel,145,54.3,2
 Focus,2018,15798,Manual,4534,Petrol,145,58.9,1
 Fiesta,2017,10298,Manual,9148,Petrol,145,65.7,1
 KA,2014,4898,Manual,22609,Petrol,30,57.7,1.2
 Focus,2016,10298,Manual,15510,Diesel,0,74.3,1.5
 Fiesta,2017,9998,Manual,20347,Petrol,0,65.7,1
 Kuga,2018,16698,Manual,3044,Petrol,145,39.2,1.5
 Fiesta,2017,8998,Manual,5233,Petrol,125,54.3,1.2
 Grand C-MAX,2015,8998,Manual,28359,Diesel,125,60.1,1.6
 Focus,2017,12498,Semi-Auto,12244,Petrol,125,51.4,1
 Fiesta,2018,12498,Manual,17918,Petrol,145,65.7,1
 S-MAX,2020,34498,Semi-Auto,4623,Diesel,145,43.5,2
 EcoSport,2017,9298,Manual,16770,Petrol,145,44.8,1.5
 Focus,2017,10900,Manual,25459,Petrol,145,60.1,1
 EcoSport,2017,9998,Manual,23913,Petrol,125,53.3,1
 Fiesta,2018,12998,Manual,9901,Petrol,150,65.7,1
 Focus,2016,10998,Semi-Auto,15006,Petrol,125,51.4,1
 Focus,2017,15500,Manual,19593,Petrol,145,41.5,2
 Kuga,2017,16200,Semi-Auto,23027,Diesel,145,58.9,1.5
 C-MAX,2016,10500,Semi-Auto,13580,Diesel,20,64.2,1.5
 Focus,2015,13200,Manual,32000,Diesel,20,67.3,2
 Focus,2019,18698,Manual,15365,Petrol,145,60.1,1
 Focus,2019,16998,Manual,7924,Diesel,145,80.7,1.5
 Fiesta,2017,9998,Manual,10721,Petrol,145,65.7,1
 EcoSport,2017,9498,Manual,25939,Petrol,145,53.3,1
 Fiesta,2019,17498,Manual,3265,Petrol,145,58.9,1
 Focus,2019,15998,Automatic,11045,Petrol,145,41.5,1
 EcoSport,2020,17998,Manual,250,Petrol,145,51.4,1
 B-MAX,2013,5698,Manual,44901,Petrol,145,47.1,1.4
 Focus,2017,9998,Manual,22001,Petrol,20,60.1,1
 Fiesta,2020,17298,Manual,4563,Petrol,145,54.3,1
 Fiesta,2019,16998,Manual,12236,Petrol,145,55.4,1
 Kuga,2019,23998,Manual,7584,Diesel,145,39.2,2
 Fiesta,2013,6498,Manual,41599,Petrol,0,65.7,1
 Grand C-MAX,2017,12498,Manual,10373,Petrol,145,54.3,1
 Fiesta,2013,4998,Manual,79300,Petrol,0,65.7,1
 C-MAX,2017,11498,Manual,12982,Petrol,30,55.4,1
 Focus,2017,11298,Manual,24386,Diesel,0,74.3,1.5
 EcoSport,2017,9298,Manual,18209,Diesel,30,64.2,1.5
 EcoSport,2018,12998,Manual,9796,Petrol,145,54.3,1
 Fiesta,2018,14498,Manual,9428,Petrol,145,62.8,1
 Galaxy,2016,18498,Manual,30528,Diesel,125,56.5,2
 C-MAX,2016,8498,Manual,41772,Petrol,30,55.4,1
 Fiesta,2015,8298,Manual,15673,Petrol,0,65.7,1
 Focus,2015,8498,Manual,47219,Diesel,0,74.3,1.5
 Focus,2018,12998,Manual,16081,Petrol,150,57.7,1
 Focus,2019,16998,Manual,10476,Petrol,145,60.1,1
 Fiesta,2016,9998,Manual,16647,Petrol,0,65.7,1
 Kuga,2017,13698,Manual,41457,Diesel,150,54.3,2
 Focus,2017,13998,Semi-Auto,4735,Petrol,125,51.4,1
 EcoSport,2016,9498,Manual,24045,Petrol,125,53.3,1
 EcoSport,2019,15984,Manual,6500,Petrol,145,51.4,1
 EcoSport,2017,8489,Manual,60190,Petrol,160,44.8,1.5
 Fiesta,2017,9995,Manual,27000,Diesel,0,78.5,1.5
 Fiesta,2017,8498,Manual,32538,Petrol,0,65.7,1
 Kuga,2016,13498,Manual,36345,Diesel,150,54.3,2
 Focus,2016,8998,Manual,43623,Petrol,20,61.4,1
 Kuga,2013,9998,Semi-Auto,58500,Diesel,200,45.6,2
 Kuga,2017,17498,Manual,15729,Diesel,145,54.3,2
 Fiesta,2018,9998,Manual,7892,Petrol,145,65.7,1
 Fiesta,2017,11990,Manual,24725,Petrol,145,47.9,1.6
 Focus,2019,16899,Manual,7000,Diesel,145,80.7,1.5
 EcoSport,2019,15984,Manual,3500,Petrol,145,51.4,1
 EcoSport,2019,15984,Manual,4500,Petrol,145,51.4,1
 EcoSport,2019,15984,Manual,4000,Petrol,145,51.4,1
 EcoSport,2019,13998,Manual,4889,Diesel,145,68.9,1.5
 Kuga,2017,17994,Manual,20633,Diesel,150,54.3,2
 Galaxy,2016,17489,Semi-Auto,47937,Diesel,165,51.4,2
 Kuga,2018,19899,Semi-Auto,28500,Diesel,145,54.3,2
 Fiesta,2014,4699,Manual,85000,Petrol,30,54.3,1.2
 EcoSport,2017,9949,Manual,23000,Petrol,125,53.3,1
 C-MAX,2017,11498,Manual,9995,Petrol,145,55.4,1
 C-MAX,2017,10898,Manual,12626,Petrol,30,55.4,1
 C-MAX,2018,12998,Manual,7320,Petrol,145,55.4,1
 C-MAX,2019,13498,Manual,23394,Petrol,145,48.7,1
 C-MAX,2017,9998,Manual,12932,Diesel,20,68.9,1.5
 Focus,2019,18998,Automatic,22246,Diesel,150,64.2,2
 Fiesta,2019,11798,Manual,5530,Petrol,150,48.7,1.1
 Fiesta,2019,11798,Manual,4590,Petrol,150,48.7,1.1
 Fiesta,2017,8498,Manual,28479,Petrol,0,65.7,1
 Kuga,2013,8998,Manual,67895,Diesel,200,47.9,2
 Focus,2019,14799,Manual,6249,Petrol,145,60.1,1
 Focus,2019,14799,Manual,8560,Petrol,145,60.1,1
 Mustang,2020,42489,Automatic,3500,Petrol,145,22.1,5
 Kuga,2017,17498,Manual,9940,Petrol,145,45.6,1.5
 Focus,2019,16498,Manual,4930,Petrol,145,60.1,1
 Focus,2018,19698,Manual,12011,Petrol,145,41.5,2
 Fiesta,2016,8498,Manual,23053,Petrol,125,54.3,1.2
 Focus,2016,16998,Manual,17589,Petrol,200,41.5,2
 Focus,2019,14998,Manual,7000,Petrol,145,58.9,1
 Grand Tourneo Connect,2019,19999,Manual,3500,Diesel,145,61.4,1.5
 Kuga,2019,20999,Automatic,5500,Diesel,145,47.9,2
 Focus,2019,14998,Manual,7000,Petrol,145,60.1,1
 Focus,2019,14998,Manual,7000,Petrol,145,58.9,1
 EcoSport,2019,13998,Manual,5000,Diesel,145,68.9,1.5
 Kuga,2017,13898,Manual,33026,Diesel,145,60.1,2
 Fiesta,2016,11498,Manual,8560,Petrol,0,65.7,1
 Focus,2018,19698,Manual,16548,Petrol,145,41.5,2
 Focus,2017,10498,Manual,49485,Diesel,0,74.3,1.5
 Mondeo,2017,17498,Semi-Auto,14569,Diesel,145,53.3,2
 Kuga,2015,12498,Manual,60151,Diesel,145,54.3,2
 Focus,2017,11498,Manual,9148,Petrol,145,61.4,1
 Fiesta,2017,10998,Manual,13548,Petrol,0,65.7,1
 Mondeo,2019,22998,Automatic,7337,Hybrid,140,47.1,2
 Fiesta,2015,8498,Manual,6649,Petrol,125,54.3,1.2
 Focus,2017,11998,Manual,7690,Petrol,150,60.1,1
 Fiesta,2019,11898,Manual,3396,Petrol,150,48.7,1.1
 Fiesta,2019,11498,Manual,15766,Petrol,145,58.9,1
 Fiesta,2019,13298,Manual,7349,Petrol,145,58.9,1
 C-MAX,2016,9698,Manual,36860,Diesel,20,68.9,1.5
 EcoSport,2018,10498,Manual,59498,Diesel,145,68.9,1.5
 Kuga,2015,10998,Manual,17367,Diesel,125,60.1,2
 Fiesta,2017,9598,Manual,14403,Petrol,145,64.2,1.1
 Focus,2019,16998,Manual,20647,Petrol,145,60.1,1
 Fiesta,2019,13498,Manual,13351,Petrol,145,58.9,1
 Fiesta,2016,6998,Manual,34804,Petrol,125,54.3,1.2
 Kuga,2017,15498,Manual,38113,Diesel,125,60.1,2
 Fiesta,2018,9949,Manual,27399,Petrol,145,64.2,1.1
 C-MAX,2018,12998,Manual,2455,Diesel,145,68.9,1.5
 Edge,2016,20799,Automatic,52000,Diesel,200,47.9,2
 Mustang,2020,38489,Automatic,3500,Petrol,145,30.7,2.3
 Fiesta,2018,9489,Manual,35417,Petrol,145,64.2,1.1
 Fiesta,2019,13949,Semi-Auto,11982,Petrol,145,48.7,1
 Fiesta,2018,10990,Manual,28138,Petrol,145,56.5,1
 Kuga,2017,13489,Manual,34805,Diesel,145,54.3,2
 Focus,2015,7994,Manual,64612,Diesel,20,67.3,1.6
 Fiesta,2018,11489,Manual,19665,Petrol,145,60.1,1
 Kuga,2018,15699,Manual,17500,Diesel,150,64.2,1.5
 Focus,2020,19998,Manual,4000,Diesel,145,74.3,1.5
 Focus,2020,19489,Manual,5000,Diesel,145,74.3,1.5
 Focus,2019,14998,Manual,7000,Petrol,145,58.9,1
 EcoSport,2016,9199,Manual,26445,Diesel,30,64.2,1.5
 C-MAX,2017,10489,Manual,26445,Diesel,20,68.9,1.5
 EcoSport,2018,11489,Manual,2922,Diesel,145,64.2,1.5
 Mustang,2018,29998,Automatic,3000,Petrol,145,28.8,2.3
 Mustang,2018,31498,Automatic,6250,Petrol,145,23.5,5
 Focus,2018,11999,Manual,6691,Petrol,145,61.4,1
 Grand Tourneo Connect,2018,15990,Automatic,9486,Diesel,145,56.6,1.5
 Focus,2019,16998,Automatic,8703,Petrol,145,40.9,1.5
 EcoSport,2019,15489,Manual,5636,Diesel,145,68.9,1.5
 S-MAX,2019,22489,Manual,8224,Diesel,145,56.5,2
 S-MAX,2019,22489,Manual,4000,Diesel,145,56.5,2
 Fiesta,2015,5998,Manual,55898,Diesel,0,78.5,1.5
 Focus,2017,10998,Manual,28001,Petrol,145,60.1,1
 Kuga,2014,11498,Manual,36052,Diesel,160,47.9,2
 Mustang,2016,24999,Semi-Auto,42086,Petrol,570,23.5,5
 Kuga,2017,15298,Manual,34673,Diesel,125,60.1,2
 Edge,2018,19498,Manual,22068,Diesel,145,48.7,2
 Focus,2019,16998,Manual,19936,Petrol,145,60.1,1
 Grand Tourneo Connect,2017,13998,Manual,4856,Diesel,145,61.4,1.5
 B-MAX,2017,11298,Semi-Auto,1397,Petrol,165,44.1,1.6
 Focus,2017,13398,Automatic,21649,Petrol,145,46.3,1.5
 Focus,2017,17798,Manual,10345,Petrol,145,41.5,2
 Kuga,2018,14998,Manual,14960,Diesel,145,64.2,1.5
 Focus,2015,13998,Manual,35689,Petrol,205,41.5,2
 EcoSport,2017,9189,Manual,31998,Petrol,145,44.8,1.5
 Fiesta,2018,10399,Manual,7200,Petrol,145,65.7,1
 Edge,2017,23899,Automatic,27146,Diesel,145,47.9,2
 Fiesta,2013,5330,Manual,66937,Petrol,30,54.3,1.2
 EcoSport,2019,15985,Manual,5099,Petrol,145,51.4,1
 Fiesta,2015,7485,Manual,11092,Petrol,125,54.3,1.2
 Kuga,2019,21999,Automatic,6000,Petrol,145,29.1,1.5
 Fiesta,2017,10850,Manual,23634,Petrol,150,65.7,1
 Kuga,2019,23250,Semi-Auto,9931,Diesel,145,38.7,2
 Fiesta,2016,7999,Manual,22633,Petrol,0,65.7,1
 Ka+,2018,7999,Manual,9355,Petrol,145,57.7,1.2
 Kuga,2013,7999,Manual,78170,Diesel,200,47.9,2
 Focus,2016,9699,Manual,13480,Petrol,20,60.1,1
 Mustang,2019,39998,Automatic,5000,Petrol,145,22.6,5
 Fiesta,2017,8500,Manual,15060,Petrol,125,54.3,1.2
 Fiesta,2016,9998,Manual,18912,Petrol,0,65.7,1
 Focus,2019,15995,Manual,6992,Petrol,145,60.1,1
 Fiesta,2017,11495,Manual,17766,Petrol,145,65.7,1
 Fiesta,2019,14698,Manual,8725,Petrol,145,58.9,1
 Fiesta,2016,9998,Manual,6820,Petrol,0,65.7,1
 Kuga,2013,9498,Manual,29326,Diesel,200,47.9,2
 Fiesta,2017,10698,Semi-Auto,11235,Petrol,0,57.7,1
 Kuga,2016,13499,Manual,38687,Diesel,145,54.3,2
 Kuga,2017,15999,Manual,15005,Diesel,145,54.3,2
 Kuga,2017,17299,Manual,14224,Diesel,145,54.3,2
 Focus,2019,14198,Manual,20205,Petrol,150,58.9,1
 EcoSport,2016,10898,Manual,13093,Petrol,125,52.3,1
 Fiesta,2019,17298,Semi-Auto,1434,Petrol,150,48.7,1
 B-MAX,2013,5998,Semi-Auto,44582,Petrol,165,44.1,1.6
 Mondeo,2015,9998,Manual,55621,Diesel,30,64.2,2
 Ka+,2017,6998,Manual,21203,Petrol,30,57.7,1.2
 Focus,2017,16698,Manual,24498,Diesel,145,67.3,2
 Focus,2018,17298,Manual,3124,Petrol,145,60.1,1
 Kuga,2017,15498,Manual,31073,Diesel,125,60.1,2
 Kuga,2017,14298,Manual,6345,Diesel,145,54.3,2
 C-MAX,2016,9998,Manual,26138,Diesel,20,68.9,1.5
 Kuga,2019,22998,Manual,593,Diesel,145,47.9,2
 Focus,2018,11598,Manual,11654,Petrol,145,61.4,1
 Fiesta,2018,10498,Manual,17532,Petrol,145,65.7,1
 EcoSport,2017,8698,Manual,36124,Petrol,160,44.8,1.5
 Focus,2017,17498,Manual,13558,Petrol,200,41.5,2
 EcoSport,2018,12499,Manual,13000,Diesel,145,67.3,1.5
 Ka+,2018,9250,Manual,7812,Petrol,145,47.9,1.2
